Taxon	Group11	Group12	Group13	Group14	Group15	Group16	Group17	Group18	Group119	Group110	Group111	Group112	Group113	Group114	Group115	Group116	Group117	Group118	Group119	Group120	Group121	Group123	Group124	Group125	Group126	Group127	Group128	Group129	Group21	Group22	Group23	Group24	Group25	Group26	Group27	Group28	Group29	Group210	Group211	Group212	Group213	Group214	Group215	Group216	Group217	Group218	Group219	Group220	Group222	Group224	Group225	Group226	Group227	Group228	Group229	Group230	Group231	Group232
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	27	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	78	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__iners	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	392	0	0	0	0	5	0	0	105	0	0	0	0	0	0	0	0	0	29	0	13	0	0	0	0	0	0	3	216	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	22	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	10	34	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	0	0	0	0	6	6	0	0	20	7	0	7	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	25	0	0	6	41	0	6	60	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0	303	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	169	27	0	12	4	275	249	0	62	96	87	26	5	9	12	311	0	4	390	265	24	151	5	199	43	62	5	50	0	163	19	9	28	33	141	267	220	356	0	11	23	8	75	98	0	115	188	168	2368	81	284	68	125	216	298	25	9	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__anginosus	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__	97	6	33	10	0	0	0	0	46	64	8	0	0	0	39	5	0	0	35	0	0	0	8	3	13	0	3	21	84	0	10	0	240	7	178	11	7	22	4	0	0	45	82	67	0	92	39	359	52	0	14	0	134	48	88	0	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other;Other	15	14	1	0	0	5	36	0	8	0	1	2	18	4	1	15	0	0	28	0	0	0	27	1	0	0	1	6	0	4	16	0	17	0	9	1	2	0	0	1	0	0	12	1	0	10	1	21	0	1	2	3	0	20	8	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__	2960	1379	2805	519	115	6	677	336	656	23	394	563	648	1289	415	1103	24	548	4276	0	545	296	807	983	603	381	3214	74	173	512	893	31	1815	1578	434	1439	930	32	8	1311	126	24	928	2132	2003	2912	16	1252	347	242	1935	350	1405	73	964	217	713	313
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__	440	80	85	36	0	4	42	12	13	0	43	9	0	89	79	0	0	0	1191	0	414	0	490	17	19	5	134	0	0	0	573	0	883	1051	0	8	0	6	0	0	0	0	10	165	236	1619	0	9	0	6	67	5	72	8	0	0	29	12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella;s__	0	3	0	0	0	0	5	0	0	0	9	5	0	0	0	0	0	0	20	0	0	0	0	0	0	7	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other;Other	335	367	7	26	10	26	1024	0	40	146	717	8	0	138	219	0	3	10	775	0	59	0	378	7	580	0	49	143	326	87	687	0	2154	38	30	439	25	245	61	9	0	19	132	110	5	535	330	705	319	23	11	113	112	342	440	9	40	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	65	113	188	169	92	4	570	19	76	311	236	5	15	284	502	0	24	41	155	39	71	0	147	59	465	0	80	14	140	33	316	323	2635	77	245	341	47	678	39	10	114	52	381	109	61	497	320	975	513	41	141	61	38	469	920	4	566	14
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	5	47	220	0	15	26	76	10	34	183	158	128	16	7	49	217	0	166	23	0	36	0	5	315	78	9	8	0	11	35	0	0	22	0	18	136	0	0	0	58	0	25	0	153	124	38	119	25	111	24	0	112	74	9	110	25	51	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53;s__	0	5	0	0	0	0	8	0	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	18	0	3	0	52	0	0	7	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	11	10	7	0	0	0	0	7	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	18	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis;s__	0	0	0	0	0	3	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium;s__	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	24	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other;Other	557	694	266	388	164	1817	2081	104	1362	1681	58	414	114	651	560	833	282	196	150	249	459	390	819	507	1108	53	155	878	177	403	1125	1201	1272	349	3766	649	424	80	200	187	21	34	954	412	347	1126	1834	2182	202	166	676	76	2200	1164	1999	146	991	183
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__	3980	3641	2686	1135	1830	7885	9815	1112	9351	7003	4247	3493	1813	3060	4022	6303	1875	1884	3388	1259	4032	4878	1816	4113	2178	1392	697	5881	748	7099	1072	5502	1492	1726	17435	5868	1407	829	1378	2442	1824	1151	3071	1959	3890	5243	11737	10239	4591	1304	4268	3290	7556	4006	7342	1971	4865	1508
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__	41	106	398	0	8	0	30	45	144	0	0	73	0	0	113	0	0	4	178	0	133	118	84	206	0	0	3	352	0	189	4	0	9	87	0	107	0	7	0	11	0	0	52	69	32	11	0	176	444	12	67	0	0	0	331	52	165	32
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;Other	817	842	61	25	13	212	889	92	464	90	244	425	0	136	210	737	0	4	148	0	46	22	134	248	91	0	41	493	45	752	1600	0	315	178	694	425	701	8	0	159	0	0	300	289	251	101	13	901	0	30	314	24	26	276	678	12	395	23
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__	2354	2118	1862	409	852	5406	2798	1927	5283	7308	7166	1810	291	2965	1723	5188	731	813	2677	1068	2033	10113	1831	4456	1831	361	245	5195	674	8553	2177	12284	2942	1435	6425	2600	7078	8050	848	1934	10597	444	2710	1048	1647	3072	5720	5820	6509	205	1118	4725	3900	2290	4980	1573	2325	678
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta	0	0	0	0	30	0	0	4	0	110	586	5	0	0	6	83	43	17	0	13	0	5	0	0	0	14	0	15	0	47	0	259	0	0	0	0	9	515	12	0	48	194	0	0	0	0	89	0	6	0	0	131	0	279	0	30	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;Other	589	368	0	12	0	0	26	0	0	0	0	0	0	286	0	0	0	0	15	0	0	0	93	0	0	0	9	0	17	0	4	0	1613	0	0	89	4	0	0	0	0	0	0	64	0	19	0	0	0	0	0	0	283	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__	895	497	526	804	394	687	670	42	708	602	989	640	127	1010	450	637	304	339	3531	89	532	921	492	1004	532	275	167	618	207	1114	532	287	1064	710	828	741	807	401	381	595	176	212	774	538	1301	559	1335	713	356	749	639	940	789	613	912	244	872	334
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus	2711	0	0	70	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	79	0	0	0	7	0	14	0	0	344	0	0	0	0	0	0	0	635	0	71	0	0	0	0	0	0	399	0	0	0	891	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;Other	130	72	54	55	0	0	125	0	140	444	457	225	77	191	0	382	56	67	228	30	112	0	166	76	202	72	49	317	103	285	154	414	38	32	153	116	0	0	82	26	0	0	235	86	177	119	208	88	0	20	55	0	205	298	228	5	177	20
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__	237	256	215	101	23	191	137	310	306	1	624	167	10	253	332	397	72	235	29	177	68	815	740	272	298	228	103	100	95	1895	8	346	257	252	551	302	528	364	10	16	530	245	271	226	125	410	730	774	3	0	120	62	463	506	429	150	272	52
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium;s__	0	431	0	9	0	0	0	0	171	0	0	0	7	0	0	0	0	2	0	0	16	0	8	0	3	0	3	26	0	0	0	627	23	11	0	0	0	0	0	0	0	0	15	345	35	23	0	0	0	0	0	3	0	5	5	0	107	12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__	1020	126	286	106	481	0	640	156	1396	297	191	281	15	70	490	139	91	401	446	0	641	0	152	144	45	355	166	1555	256	220	31	2057	259	236	807	514	1155	6	67	533	0	269	839	1313	623	449	2634	140	335	509	3399	391	267	371	330	490	219	3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;Other	449	175	215	31	2	26	922	44	273	1591	37	34	15	53	590	692	0	9	61	0	48	8	13	9	87	0	51	355	16	64	90	415	669	11	72	718	1056	0	122	231	0	284	140	1083	321	210	1169	51	223	816	246	15	214	58	306	161	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__	97	207	178	151	8	98	70	65	71	604	419	17	85	55	36	59	35	6	152	1	3	0	37	2	121	37	53	380	35	1	6	1645	65	9	208	292	253	0	141	129	0	290	6	94	172	412	61	117	66	85	24	84	47	51	200	244	9	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__faecis	1	2	0	0	0	0	5	0	1	10	1	0	0	0	133	6	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	9	9	0	0	13	6	0	0	0	0	12	0	4	2	1	10	1	0	2	0	0	1	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];Other	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	7	0	0	0	0	3	0	0	0	2	1	3	0	0	0	0	3	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__	468	731	152	106	121	1598	727	90	573	867	767	1112	16	542	29	691	329	294	1092	71	1007	1175	706	311	326	597	116	714	110	1084	50	460	599	187	305	706	43	1251	256	111	28	257	1154	282	708	585	2149	818	2611	20	9	317	1240	3695	650	211	831	173
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus	0	0	11	7	286	98	8	151	123	170	3016	75	7	4	164	56	57	19	220	586	0	85	48	40	63	35	15	8	10	1038	77	903	65	45	190	51	46	4	203	0	1601	216	33	0	0	0	707	7	3040	0	9	192	117	240	341	36	18	10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques	0	10	0	0	12	3	0	0	5	15	24	6	0	0	0	0	0	3	39	0	11	0	10	0	0	0	0	11	0	74	4	19	0	0	2	0	0	76	0	0	0	0	15	0	0	0	0	0	63	0	0	0	21	61	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__;s__	0	0	8	7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	5	5	0	0	0	0	4	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	21	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4;s__	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__	32	38	0	0	0	4	90	0	0	0	53	0	0	18	27	0	0	2	47	0	7	0	26	0	50	0	5	9	37	5	57	0	86	4	0	48	0	23	5	0	0	7	10	7	0	42	27	55	13	0	0	11	12	23	22	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;Other	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other;Other	10	7	16	0	0	0	0	0	2	0	0	0	0	6	7	0	0	0	30	0	3	0	8	0	4	0	0	0	0	0	0	0	32	0	0	0	0	4	0	0	0	0	5	0	20	7	0	0	0	0	36	0	5	0	5	0	6	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__	9870	4239	7896	5238	1155	738	7691	4210	9853	832	2146	2732	3419	4564	16692	7765	135	3873	6491	34	6733	932	6534	2057	4431	2515	8311	2649	3396	5349	4145	11829	12845	13555	3348	6774	5254	205	452	3480	4987	1601	6218	14472	10338	13026	6346	4997	164	4275	6530	4055	6952	2270	8591	4944	6386	3373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__	0	0	0	0	26	0	0	38	0	0	0	26	0	0	18	0	0	7	20	0	84	9	0	5	0	28	0	0	0	0	0	0	0	23	0	0	0	0	0	7	0	0	0	0	19	0	0	0	0	6	9	9	0	4	0	4	0	3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii	898	1619	2493	974	73	1579	5595	1301	3994	6748	59	1545	3389	1091	2104	1016	152	809	508	12	942	153	261	1798	666	156	1954	2806	1555	3519	220	0	509	250	963	3010	1676	9	2009	5454	286	2205	2485	1822	2418	2408	463	3350	5527	3085	514	923	2119	3035	3222	2984	3940	7983
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__	460	173	302	321	556	98	294	476	556	264	648	487	418	325	773	232	211	338	750	93	633	173	395	376	341	461	462	165	167	379	331	200	2046	390	188	190	112	598	190	343	183	511	361	1038	828	412	155	255	16	490	905	210	232	128	220	296	574	571
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;Other	57	15	0	0	0	0	0	0	7	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__	6052	2847	1194	518	293	261	474	726	4385	4539	1678	482	133	689	2102	973	4	282	7137	0	4982	309	225	535	1952	133	916	436	99	166	513	837	1241	3388	1091	4816	378	98	161	445	51	52	1319	1447	3712	3411	139	1537	14	264	3303	1274	2531	22	456	546	4569	107
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii	9	3	0	0	0	0	0	0	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__flavefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus;s__	0	0	0	42	0	238	6	0	0	0	0	0	0	0	436	0	589	0	0	0	132	0	0	0	0	0	32	0	0	0	0	0	0	0	277	0	15	0	0	0	0	0	185	46	0	0	129	0	0	0	35	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Anaerovibrio;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__	148	0	60	121	0	36	113	80	0	0	6	18	0	125	724	147	13	75	302	0	167	0	0	501	187	0	410	0	6	0	0	107	742	53	0	321	0	0	0	0	91	26	393	634	0	0	283	204	519	6	953	193	7	46	408	59	0	0
